代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
301360.SZ,荣旗科技,2023-04-25,69.97,55,65.31,5273824,-9.1402,44.085,
301360.SZ,荣旗科技,2023-04-26,71.55,59.21,68.23,4503036,4.471,37.6419,
301360.SZ,荣旗科技,2023-04-27,71.55,63.18,66.9,3001609,-1.9493,25.0911,
301360.SZ,荣旗科技,2023-04-28,72.54,67.5,70.42,2969128,5.2616,24.8196,
301360.SZ,荣旗科技,2023-05-04,72,64.62,65.7,2783820,-6.7026,23.2706,
301360.SZ,荣旗科技,2023-05-05,62.87,58.01,59,2082676,-10.1979,17.4095,
301360.SZ,荣旗科技,2023-05-08,67,57.5,65.34,1875245,10.7458,15.6756,
301360.SZ,荣旗科技,2023-05-09,70.5,64.3,68,1905118,4.071,15.9253,
301360.SZ,荣旗科技,2023-05-10,69.88,66.4,67.56,1651272,-0.6471,13.8033,
301360.SZ,荣旗科技,2023-05-11,73,67.22,69.97,1678708,3.5672,14.0327,
301360.SZ,荣旗科技,2023-05-12,71.97,68.22,68.86,1351632,-1.5864,11.2986,
