代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688433.SH,华曙高科,2023-04-17,40.28,30.8,30.9,27036528,15.904,78.241,
688433.SH,华曙高科,2023-04-18,29.6,26.75,27,16392706,-12.6214,47.4388,
688433.SH,华曙高科,2023-04-19,27.62,26.4,26.74,7063618,-0.963,20.4414,
688433.SH,华曙高科,2023-04-20,27.27,25.8,26.7,7690592,-0.1496,22.2558,
688433.SH,华曙高科,2023-04-21,27.46,25.49,25.49,6552543,-4.5318,18.9624,
688433.SH,华曙高科,2023-04-24,25.71,24.14,24.34,5855933,-4.5116,16.9465,
688433.SH,华曙高科,2023-04-25,24.93,23.49,24.1,5468397,-0.986,15.825,
688433.SH,华曙高科,2023-04-26,24.65,23.82,24.29,3296792,0.7884,9.5406,
688433.SH,华曙高科,2023-04-27,25.26,24.08,24.54,3957815,1.0292,11.4535,
688433.SH,华曙高科,2023-04-28,26.84,24.84,26.52,6779532,8.0685,19.6193,
688433.SH,华曙高科,2023-05-04,26.5,25.88,26.3,2802687,-0.8296,8.1107,
688433.SH,华曙高科,2023-05-05,26.82,25.63,25.93,3202222,-1.4068,9.2669,
688433.SH,华曙高科,2023-05-08,26.47,25.3,26.33,2626034,1.5426,7.5995,
688433.SH,华曙高科,2023-05-09,26.4,24.9,24.92,3017723,-5.3551,8.733,
688433.SH,华曙高科,2023-05-10,25.16,24.6,24.8,1221608,-0.4815,3.5352,
688433.SH,华曙高科,2023-05-11,25,24.04,24.19,1736117,-2.4597,5.0241,
688433.SH,华曙高科,2023-05-12,24.5,24.08,24.25,1049204,0.248,3.0363,
