代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
301357.SZ,北方长龙,2023-04-18,71,59.81,59.93,11539090,19.86,71.5691,
301357.SZ,北方长龙,2023-04-19,62.39,57.88,60.01,7027654,0.1335,43.5877,
301357.SZ,北方长龙,2023-04-20,59.78,53.9,54,7126762,-10.015,44.2024,
301357.SZ,北方长龙,2023-04-21,57.48,53.68,54.41,5734808,0.7593,35.5691,
301357.SZ,北方长龙,2023-04-24,54.69,51.51,51.98,4005395,-4.4661,24.8427,
301357.SZ,北方长龙,2023-04-25,53.25,49.2,49.61,3690167,-4.5594,22.8876,
301357.SZ,北方长龙,2023-04-26,50.55,48.5,49.55,2252125,-0.1209,13.9684,
301357.SZ,北方长龙,2023-04-27,50.91,47.99,48.5,2585616,-2.1191,16.0368,
301357.SZ,北方长龙,2023-04-28,49.79,48.92,49.49,1702089,2.0412,10.5569,
301357.SZ,北方长龙,2023-05-04,50.75,49.12,49.37,1894965,-0.2425,11.7532,
301357.SZ,北方长龙,2023-05-05,49.19,45.11,45.48,3021076,-7.8793,18.7377,
301357.SZ,北方长龙,2023-05-08,48.55,45.1,47.81,2902926,5.1231,18.0049,
301357.SZ,北方长龙,2023-05-09,47.83,45.8,45.87,1548600,-4.0577,9.6049,
301357.SZ,北方长龙,2023-05-10,50.2,46.16,49.16,3703955,7.1724,22.9731,
301357.SZ,北方长龙,2023-05-11,48.75,46.88,47.04,2681376,-4.3124,16.6307,
301357.SZ,北方长龙,2023-05-12,47.26,46.03,46.17,1665470,-1.8495,10.3298,
