代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688352.SH,颀中科技,2023-04-20,18.93,15.8,17.42,110563262,43.9669,73.0615,
688352.SH,颀中科技,2023-04-21,16.66,14.88,15.06,66525693,-13.5476,43.961,
688352.SH,颀中科技,2023-04-24,15.49,14.4,14.61,33728301,-2.988,22.2881,
688352.SH,颀中科技,2023-04-25,14.72,13.72,13.8,29835666,-5.5441,19.7158,
688352.SH,颀中科技,2023-04-26,13.98,12.9,13,31233500,-5.7971,20.6395,
688352.SH,颀中科技,2023-04-27,13.65,12.88,13.23,21939241,1.7692,14.4977,
688352.SH,颀中科技,2023-04-28,13.79,13.18,13.58,19662055,2.6455,12.9929,
688352.SH,颀中科技,2023-05-04,14.25,13.63,13.76,20933451,1.3255,13.8331,
688352.SH,颀中科技,2023-05-05,13.85,12.66,12.94,24550293,-5.9593,16.2231,
688352.SH,颀中科技,2023-05-08,13.14,12.82,12.99,11773259,0.3864,7.7799,
688352.SH,颀中科技,2023-05-09,13.05,12.57,12.94,15785185,-0.3849,10.431,
688352.SH,颀中科技,2023-05-10,13.1,12.73,12.86,11232089,-0.6182,7.4223,
688352.SH,颀中科技,2023-05-11,13.05,12.83,12.96,9384521,0.7776,6.2014,
688352.SH,颀中科技,2023-05-12,13.14,12.52,12.52,13605183,-3.3951,8.9905,
