代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688507.SH,索辰科技,2023-04-18,297,245,252,5903177,2.6226,65.0352,
688507.SH,索辰科技,2023-04-19,269.3,246.9,258.88,4018596,2.7302,44.2728,
688507.SH,索辰科技,2023-04-20,284,253.01,283.65,3192280,9.5681,35.1693,
688507.SH,索辰科技,2023-04-21,301.79,271.68,281.96,2505727,-0.5958,27.6056,
688507.SH,索辰科技,2023-04-24,291.42,267.86,286.8,1348668,1.7166,14.8583,
688507.SH,索辰科技,2023-04-25,288.08,269,281.91,1242416,-1.705,13.6877,
688507.SH,索辰科技,2023-04-26,279.09,260.99,260.99,795275,-7.4208,8.7615,
688507.SH,索辰科技,2023-04-27,261,242,242,1499184,-7.2761,16.5165,
688507.SH,索辰科技,2023-04-28,252.88,236,239,1328371,-1.2397,14.6346,
688507.SH,索辰科技,2023-05-04,239.7,226.26,236.2,866049,-1.1715,9.5412,
688507.SH,索辰科技,2023-05-05,235,213.27,221,1253641,-6.4352,13.8113,
688507.SH,索辰科技,2023-05-08,232.01,220.66,232,770229,4.9774,8.4856,
688507.SH,索辰科技,2023-05-09,230.38,213.98,215.04,790881,-7.3103,8.7131,
688507.SH,索辰科技,2023-05-10,217.99,200.51,204.26,910609,-5.013,10.0322,
688507.SH,索辰科技,2023-05-11,212.94,196,199.35,630603,-2.4038,6.9473,
688507.SH,索辰科技,2023-05-12,200,190.5,192.6,738772,-3.386,8.139,
