代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688146.SH,中船特气,2023-04-21,56.21,46.56,49.09,43857417,35.7953,74.2368,
688146.SH,中船特气,2023-04-24,51.58,47.05,51,27129905,3.8908,45.9224,
688146.SH,中船特气,2023-04-25,50.79,45.06,45.4,19304343,-10.9804,32.6762,
688146.SH,中船特气,2023-04-26,47.55,44.88,45.93,13321699,1.1674,22.5494,
688146.SH,中船特气,2023-04-27,48.98,45.55,46.89,12607458,2.0901,21.3405,
688146.SH,中船特气,2023-04-28,54.8,47.2,53.11,23704118,13.2651,40.1236,
688146.SH,中船特气,2023-05-04,52,49.49,50.5,16575717,-4.9143,28.0575,
688146.SH,中船特气,2023-05-05,50.7,44,44,18092510,-12.8713,30.6249,
688146.SH,中船特气,2023-05-08,46.3,42.36,45.48,10242743,3.3636,17.3377,
688146.SH,中船特气,2023-05-09,48.18,44.61,45.7,11624145,0.4837,19.676,
688146.SH,中船特气,2023-05-10,47.41,43.7,43.9,9172654,-3.9387,15.5264,
688146.SH,中船特气,2023-05-11,45.25,43.2,43.48,5715657,-0.9567,9.6748,
688146.SH,中船特气,2023-05-12,44.9,41.36,41.68,7966099,-4.1398,13.4841,
