代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688478.SH,晶升股份,2023-04-24,49.81,40,42.5,23105318,30.6888,80.8298,
688478.SH,晶升股份,2023-04-25,49.9,43.77,46.56,17259538,9.5529,60.3794,
688478.SH,晶升股份,2023-04-26,49.46,42.89,47.43,14058662,1.8686,49.1817,
688478.SH,晶升股份,2023-04-27,58.28,46.92,57.01,15455412,20.1982,54.068,
688478.SH,晶升股份,2023-04-28,62.88,53.16,55.71,12473903,-2.2803,43.6377,
688478.SH,晶升股份,2023-05-04,57.47,53.26,56,8968897,0.5206,31.3761,
688478.SH,晶升股份,2023-05-05,55,44.8,44.8,13070456,-20,45.7246,
688478.SH,晶升股份,2023-05-08,45.27,42.18,44.8,6110645,0,21.377,
688478.SH,晶升股份,2023-05-09,45.87,43.05,43.2,4476876,-3.5714,15.6615,
688478.SH,晶升股份,2023-05-10,44.33,41.75,43.35,3879680,0.3472,13.5724,
688478.SH,晶升股份,2023-05-11,44.6,42.6,44.32,3482665,2.2376,12.1835,
688478.SH,晶升股份,2023-05-12,47.84,43.88,44.24,5302772,-0.1805,18.5508,
