代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
301387.SZ,光大同创,2023-04-18,61.49,50.05,51.1,7947920,-12.38,47.6974,
301387.SZ,光大同创,2023-04-19,49.52,46.5,47.3,4982470,-7.4364,29.901,
301387.SZ,光大同创,2023-04-20,48.3,46.18,46.54,3233367,-1.6068,19.4042,
301387.SZ,光大同创,2023-04-21,46.45,44.01,44.04,2996683,-5.3717,17.9838,
301387.SZ,光大同创,2023-04-24,43.81,41.69,41.75,2254788,-5.1998,13.5315,
301387.SZ,光大同创,2023-04-25,42.15,39.61,39.82,2029392,-4.6228,12.1789,
301387.SZ,光大同创,2023-04-26,40.54,39.71,40.05,1655029,0.5776,9.9322,
301387.SZ,光大同创,2023-04-27,40.44,38.99,40.18,1417726,0.3246,8.5081,
301387.SZ,光大同创,2023-04-28,40.95,39.88,40.95,1601454,1.9164,9.6107,
301387.SZ,光大同创,2023-05-04,43.13,41.31,41.96,2065150,2.4664,12.3935,
301387.SZ,光大同创,2023-05-05,41.53,39.94,40.2,1439258,-4.1945,8.6373,
301387.SZ,光大同创,2023-05-08,40.65,40.24,40.42,789995,0.5473,4.741,
301387.SZ,光大同创,2023-05-09,40.41,39.33,39.88,978232,-1.336,5.8706,
301387.SZ,光大同创,2023-05-10,40.14,39.5,40.02,608754,0.3511,3.6533,
301387.SZ,光大同创,2023-05-11,40.28,39.9,40.05,599574,0.075,3.5982,
301387.SZ,光大同创,2023-05-12,40.09,39.01,39.08,1132992,-2.422,6.7994,
