code,name,high,low,close,volume,amount,chg,turn,m_value,s_capital,pe,pb,ps,pm,vol,turn_std
0012.HK,恒基地产,0.6050321055405389,0.6011489576897747,0.6054881447818947,0.048562930166487356,0.05199399468156119,0.01376849315068495,0.06665256849315063,149155589620.35336,4841387003.0,12.553023116438359,0.454202397260274,0.0,0.0,0.6687948196403253,0.06701549494601823
001979.SZ,招商蛇口,0.4529927161365489,0.44819699824311326,0.4503493088083335,0.21203256847578267,0.22543221439842412,0.047036524822695026,0.4826358156028365,102324758927.37582,7853698692.478724,10.849334042553197,1.2623585106382966,0.6829854609929086,0.6558234042553189,0.6705391737034838,0.2990241015625988
002001.SZ,新和成,0.4538928129449745,0.4645462789218661,0.4608681362769822,0.18126761440972539,0.22715288851786838,-0.028985888501742146,0.830191986062718,71506795241.17018,2726803412.543554,18.439455400696875,3.383497560975607,5.758712717770034,35.478203310104504,0.6696458564731717,0.4892211946379263
002004.SZ,华邦健康,0.27184460071952665,0.29971431696671674,0.26335036955479557,0.10953077511540478,0.08579380656681826,0.030702090592334495,1.8037858885017406,11676349222.045464,1979919191.0,16.416451393728238,1.1685397212543567,0.993309756097563,35.37713989547045,0.6757176662642917,1.765505949738325
002006.SZ,精工科技,0.5067179988090281,0.5036108952699735,0.5048565661578613,0.20621304492095915,0.1769078609840714,0.29294355400696803,2.7442745644599267,9327275109.407665,455160000.0,70.73316864111497,8.5217280487805,6.021862020905928,119.08414163763072,0.6712255051135118,2.1093571971198393
002007.SZ,华兰生物,0.3314137298218256,0.3542557109225008,0.3296753890171553,0.1307655393861149,0.15338818545270758,-0.07977665505226483,1.2507306620209044,51180733277.77607,1824366726.0,36.097482055749104,6.1657712543554055,10.75932334494773,38.483397212543544,0.6691456824098633,0.7992180521857131
002008.SZ,大族激光,0.41076312834822815,0.4111305421910641,0.4137414136386256,0.15692031073747192,0.1734909025721049,-0.058122996515679495,2.4009371080139386,38451991976.853195,1059276439.433798,27.936197909407696,3.476722822299651,2.8079486062717773,-3.7435973867595718,0.6690022753942332,1.4813541073787255
002024.SZ,ST易购,0.34282005247893943,0.3535544940414302,0.3571476844329131,0.13504009581759716,0.09337653237519564,-0.21767396768402147,0.45605637342908445,36236278940.14488,9310039655.0,-7.027014183123878,0.6712935368043083,0.21021166965888655,-15.78640502693,0.6873482352547174,0.37570274022232697
002025.SZ,航天电器,0.531516192046167,0.5252961102287359,0.5189233411461076,0.15322276069669213,0.1182225338693827,0.04304094076655053,1.049403658536585,28710140268.84323,446148952.0836237,56.4646736933798,6.161702439024387,5.984282055749132,-106.46867979094081,0.6685041911206717,0.5485245122395204
002027.SZ,分众传媒,0.3656384522390335,0.38571935904340454,0.366001508263789,0.16605573669227117,0.17627413915733578,-0.013240069686411105,0.9548961672473865,108607797948.128,14515695926.63763,24.57059738675959,6.172271777003489,8.747261846689883,-73.31385574912888,0.6738824110505738,0.45538861223445587
002029.SZ,七匹狼,0.3446946580219589,0.4018198622630092,0.34839020423828937,0.07701345498713055,0.06524983934387182,0.059332926829268315,0.8909484320557488,4306371121.254355,755670000.0,18.221382055749135,0.7189644599303139,1.2720334494773513,12.05947369337981,0.6753186630179472,0.7848262923307698
002032.SZ,苏泊尔,0.37414245931046314,0.3742495341645396,0.3789132098400213,0.12779346163582758,0.1357117985798171,-0.04105905923344948,0.29496515679442503,45828860347.20049,811681097.0331011,23.21900209059236,6.342080662020899,2.3099229965156796,-65.49829912891991,0.6681426735074787,0.23677671318721671
002034.SZ,旺能环境,0.3702314426146412,0.39596130731307216,0.36301852622918773,0.10848965981551066,0.10140400416516193,0.04698362369337987,0.9576395470383282,7895820698.864529,426930112.4372822,12.545241114982577,1.546217770034844,3.394506271777006,-9.671356445993032,0.6699402917537941,0.7537119426195023
002035.SZ,华帝股份,0.4523145098745796,0.4673809001698261,0.45735533092059666,0.09486266509812365,0.10371714877661238,-0.002141463414634194,2.002482578397212,5567956844.756378,854682962.9860628,18.585808885017418,1.7013989547038326,1.1222108013937284,-51.46466062717782,0.6755206547062509,1.6513090387662053
002038.SZ,双鹭药业,0.3513841106718718,0.3703843443847945,0.37408148442997297,0.11757527927015114,0.10544886448522732,0.011192160278745648,1.4152372822299633,9905515400.696863,1027350000.0,28.58605087108007,1.8827203832752608,8.66693728222995,12.695872822299657,0.6725140959758279,1.2684663310698758
002041.SZ,登海种业,0.4106053856031831,0.4114139253568495,0.4119068101301835,0.1911856454990558,0.16351841111508555,-0.025997386759581912,1.7062365853658545,17921767247.38676,880000000.0,106.28899547038327,5.882014459930309,17.34945191637632,394.8362721254354,0.6706293088368331,1.1209459327768283
002044.SZ,美年健康,0.23711855601757167,0.26168719986422134,0.2503001298999726,0.13456750385418528,0.13779635233000034,-0.05284355400696867,1.3789043554006972,30372496472.591255,3914253923.0,1.412448257839699,4.087690418118471,3.6720496515679435,-35.83375017421602,0.6745822022878132,0.8794400725178957
002045.SZ,国光电器,0.3642614021429958,0.3933433917387714,0.3605808369884051,0.13973814110766852,0.11420042482102279,0.19344790940766543,5.911466898954707,5548325689.425889,468383913.0,-119.83915365853647,2.6947357142857133,1.1683914634146326,47.137113763066225,0.6711643905762372,5.840672592844782
002049.SZ,紫光国微,0.5610650470509918,0.5721469250883909,0.571232364678946,0.13504794506364715,0.16492339829750044,0.04009564459930332,1.5725369337979096,109068929313.8111,681272210.6567944,71.90905940766554,16.058691637630677,24.706638675958196,347.9997445993032,0.6679650416422911,0.9930530246155471
